Brand,Year,Model,Engine,Category,SubCategory,Manufacturer,PartNumber,MoreDetails,Price
ABARTH,1969,1000,982cc L4,Brake & Wheel Hub,Brake Pad,RAYBESTOS,SGD9M,Service Grade; Metallic,$12.93
ABARTH,1969,1000,982cc L4,Brake & Wheel Hub,Brake Pad,RAYBESTOS,PGD9M,Element3; Metallic,$20.79
ABARTH,1969,1000,982cc L4,Brake & Wheel Hub,Hydraulic Hose,WAGNER,BH145111,Washers Not Included,$8.38
ABARTH,1969,1000,982cc L4,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.35
ABARTH,1969,1000,982cc L4,Electrical-Connector,Ignition Condenser / Capacitor Connector,WVE/AIRTEX/WELLS,1P1840,N/A,$47.79
ABARTH,1969,1000,982cc L4,Ignition,Ignition Coil,DELPHI,GN10698,N/A,$56.89
ABARTH,1969,1000,982cc L4,Ignition,Ignition Coil,HITACHI,IGC0088,N/A,Out of Stock
ABARTH,1969,1000,982cc L4,Ignition,Spark Plug,AUTOLITE,63,Resistor,$1.10
ABARTH,1969,1000,982cc L4,Ignition,Spark Plug,CHAMPION,415,Copper Plus,$1.27
ABARTH,1969,1000,982cc L4,Ignition,Spark Plug,CHAMPION,300,Copper Plus,$1.34
ABARTH,1969,1000,982cc L4,Ignition,Spark Plug,ACDELCO,R42XLS,Professional; Conventional (Rebate/Promotion Available!),$1.43
ABARTH,1969,1000,982cc L4,Ignition,Spark Plug,MOTORCRAFT,SP402,Copper; Resistor,$1.60
ABARTH,1969,1000,982cc L4,Ignition,Spark Plug,CHAMPION,3415,Platinum Power,$1.85
ABARTH,1969,1000,982cc L4,Ignition,Spark Plug,AUTOLITE,AP63,Platinum (Rebate/Promotion Available!),$2.14
ABARTH,1969,1000,982cc L4,Ignition,Spark Plug,ACDELCO,4,Professional; Rapidfire (Rebate/Promotion Available!),$2.84
ABARTH,1969,1000,982cc L4,Ignition,Spark Plug,AUTOLITE,APP63,Double Platinum (Rebate/Promotion Available!),$3.44
ABARTH,1969,1000,982cc L4,Ignition,Spark Plug,CHAMPION,7415,Double Platinum Power,$4.14
ABARTH,1969,1000,982cc L4,Ignition,Spark Plug,ACDELCO,41804,Professional; Double Platinum (Rebate/Promotion Available!),$6.06
ABARTH,1969,1000,982cc L4,Ignition,Spark Plug,CHAMPION,9804,Iridium,$4.58
ABARTH,1969,1000,982cc L4,Ignition,Spark Plug,AUTOLITE,XP63,Iridium-Enhanced Center Electrode; V-Trimmed Platinum Side Wire; 0.6mm Finewire Design (Rebate/Promotion Available!),$4.99
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,TRICO,30130,"13"" 330mm",$2.10
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,ANCO,14C13,14-Series,$2.11
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,ANCO,RDB13,RainyDay Wiper,$2.19
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,TRICO,21130,Nu-Vision,$2.34
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,ACDELCO,84413,Advantage All-Season Metal Blades,$2.81
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,ANCO,3113,"31-Series; 13""",$2.47
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,TRICO,131,Exact Fit - Factory Replacement Blade,$3.11
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,ANCO,9113,"AeroVantage; 13""",$4.18
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,ACDELCO,82131,Professional Performance,$5.97
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,ANCO,2013,Vintage,$12.44
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,TRICO,18130,Flex,$4.22
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,ANCO,3013,"WINTER; Conventional Blade w/ Anti-Icing Boots; 13""",$4.33
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,TRICO,35130,Ice; Beam Style,$4.64
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,TRICO,37131,"Winter Blade; Conventional Blade w/ Anti-Icing Boots; 13""",$5.31
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,ACDELCO,8313,Specialty; Winter; Conventional Blade w/ Anti-Icing Boots,$9.32
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,TRICO,15130,"Teflon; 13"" (330mm) 7mm Bayonet, 7/9mm Hook Type",$5.61
ABARTH,1969,1000,982cc L4,Wiper & Washer,Wiper Blade,ACDELCO,8113,All-Season Plus,$8.73
ABARTH,1969,1300,1.3L L4,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.35
ABARTH,1969,1300,1.3L L4,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.35
ABARTH,1969,1300,1.3L L4,Ignition,Spark Plug,AUTOLITE,63,Resistor,$1.10
ABARTH,1969,1300,1.3L L4,Ignition,Spark Plug,CHAMPION,415,Copper Plus,$1.27
ABARTH,1969,1300,1.3L L4,Ignition,Spark Plug,CHAMPION,300,Copper Plus,$1.34
ABARTH,1969,1300,1.3L L4,Ignition,Spark Plug,ACDELCO,R42XLS,Professional; Conventional (Rebate/Promotion Available!),$1.43
